question,Group,document
Minh Tú đã gặp khó khăn gì trong thử thách đi catwalk tại Asia's Next Top Model mùa 5?,General,75fafd29
Điểm đến nào là thử thách khó khăn nhất đối với Minh Tú trong buổi thử thách đi catwalk?,General,75fafd29
Vị trí của Minh Tú trong đêm chung kết Asia's Next Top Model mùa 5 là gì?,General,75fafd29
Minh Tú đã thể hiện kỹ năng gì khi thực hiện thử thách đi catwalk trên tòa nhà cao tầng?,General,75fafd29
Những thử thách nào đã giúp Minh Tú gặt hái thành công trong Asia's Next Top Model mùa 5?,General,75fafd29
Tại sao TP HCM có sương mù dày đặc vào sáng hôm nay?,General,7adda7d7
Những yếu tố nào dẫn đến sương mù dày đặc ở TP HCM?,General,7adda7d7
Tại sao sương mù lại xuất hiện vào ban đêm?,General,7adda7d7
Có sự liên quan giữa mưa lớn và hiện tượng sương mù không?,General,7adda7d7
Mức độ ô nhiễm không khí có ảnh hưởng đến sương mù không?,General,7adda7d7
Tây Ban Nha cáo buộc những quốc gia nào liên quan đến việc thúc giục Catalonia đòi độc lập?,General,e68ffd7a
Các tổ chức ở Nga và Venezuela đã sử dụng phương tiện gì để thúc đẩy độc lập Catalonia?,General,e68ffd7a
Catalonia đã tiến hành cuộc trưng cầu dân ý chưa?,General,e68ffd7a
Tây Ban Nha có phản ứng gì với đòi độc lập của Catalonia?,General,e68ffd7a
Mục tiêu của Nga và Venezuela trong việc thúc giục độc lập Catalonia là gì?,General,e68ffd7a
Lý Hải đã từng hết thời trong sự nghiệp ca hát chưa?,General,e9d96b31
Điều gì đã khiến Lý Hải hết thời?,General,e9d96b31
Lý Hải đã làm gì để trở lại sự nghiệp ca hát?,General,e9d96b31
Tên video ca nhạc mà Lý Hải đã sản xuất để quay lại là gì?,General,e9d96b31
Video ca nhạc của Lý Hải đã giúp anh làm gì?,General,e9d96b31
"Một nhóm tay súng từ Châu Phi, sau khi chiến đấu ở khu vực nào, có thể trở lại quê hương?",General,d5118cb4
Có bao nhiêu tay súng Châu Phi được ước tính sẽ trở lại quê hương?,General,d5118cb4
Lý do tại sao sự trở về của tay súng Châu Phi từ Syria và Iraq được coi là mối đe dọa?,General,d5118cb4
Lo ngại gì về sự ổn định của khu vực nếu tay súng châu phi trở về?,General,d5118cb4
"Ngoài biện pháp riêng lẻ, các nước Châu Phi cần làm gì để đối phó với mối đe dọa này?",General,d5118cb4
Minh Tú đã khởi đầu mùa giải Asia's Next Top Model 5 như thế nào?,General,6351cb16
Vị trí của Minh Tú sau vòng casting ban đầu là bao nhiêu?,General,6351cb16
Minh Tú đã rơi vào tình thế nguy hiểm bao nhiêu lần trong cuộc thi?,General,6351cb16
Vì lý do gì Minh Tú lại một lần rơi vào Top 3 nguy hiểm?,General,6351cb16
Minh Tú giành được vị trí thứ dự và giải thưởng gì trong Asia's Next Top Model 5?,General,6351cb16
Paris Air Show năm 2017 có những máy bay nước nào tham gia màn trình diễn bay?,General,de2d1d49
"Tại Paris Air Show năm 2017, máy bay Rafale thuộc quốc tịch nào?",General,de2d1d49
F-35A Lightning II là loại máy bay của nước nào?,General,de2d1d49
Loại máy bay nào có màn trình diễn bay ấn tượng tại Paris Air Show năm 2017?,General,de2d1d49
"Ngoài tiêm kích, loại máy bay khác nào cũng có màn trình diễn ấn tượng tại sự kiện này?",General,de2d1d49
"Theo đánh giá, U22 Việt Nam và U22 Thái Lan ở SEA Games năm nay có sự chênh lệch về chất lượng chuyên môn như thế nào?",General,0f23c410
U22 Việt Nam có được xem là đội bóng vượt trội hơn U22 Thái Lan về mặt kỹ thuật chuyên môn tại SEA Games không?,General,0f23c410
Sự khác biệt về kỹ thuật chuyên môn giữa U22 Việt Nam và U22 Thái Lan trong SEA Games năm nay là rõ ràng không?,General,0f23c410
U22 Việt Nam nhận được đánh giá cao hơn U22 Thái Lan trong chuyên môn ở kỳ SEA Games này là do yếu tố nào?,General,0f23c410
"Tại SEA Games năm nay, U22 Thái Lan có thể sánh ngang với U22 Việt Nam về mặt chất lượng chuyên môn được không?",General,0f23c410
Cristiano Ronaldo đã ghi bao nhiêu bàn thắng trong sự nghiệp của mình?,General,bfc01c8d
